text,label,category
"TRAI Warning: Your mobile number will be disconnected within 2 hours due to illegal activity. Dial 9 to connect to TRAI Customer Care.",1,"Impersonation"
"Free Recharge Alert: Government is giving 3 months free Jio/Airtel recharge to all citizens! Claim free recharge at http://gov-free-recharge.site",1,"Prize / Lottery Scam"
"Alert: Suspicious login attempt from London, UK. Enter your banking PIN at http://bank-security-verify.top to protect your funds.",1,"OTP / Credential Scam"
"Hello Priya, please find attached the invoice for invoice #INV-2026-089 for your recent purchase. Thanks!",0,"Legitimate"
"Your Zomato order has been delivered. Enjoy your meal! Rate your delivery experience in the Zomato app.",0,"Legitimate"
"Reminder: Your doctor appointment with Dr. Sharma is scheduled for tomorrow at 11:30 AM at Max Hospital.",0,"Legitimate"
"Dear Customer, ₹500 has been debited from your HDFC Bank account XX9812 towards bill payment at D-Mart on 07-Sep-2026.",0,"Legitimate"
"Hi Amit, happy birthday! Wishing you a fantastic year ahead filled with joy and success.",0,"Legitimate"
"Flipkart: Big Billion Days sale starts midnight! Explore deals on electronics and fashion directly on Flipkart app.",0,"Legitimate"
"Your BookMyShow ticket for Movie: Jawan is confirmed. Hall 3, Screen 1. Show code: BMS-98412.",0,"Legitimate"
"Dear Valued Customer, your monthly broadband statement for August 2026 is ready. Total amount due: ₹799.",0,"Legitimate"
"Hi Dad, reached college safely. Will call you in the evening after classes.",0,"Legitimate"
"Google Security Alert: New login detected on Windows PC. If this was you, no action is needed.",0,"Legitimate"
"Urgent Notice: Paytm Payment Gateway suspended. Click link to transfer funds immediately http://paytm-security-transfer.top",1,"Banking / Financial Scam"
"You won a lucky gift voucher worth ₹10,000 from Amazon! Redeem now at http://amazon-gift-winner.club before offer expires.",1,"Prize / Lottery Scam"
"Data Entry Job: Type simple captchas and earn ₹30,000 monthly from home. Deposit ₹500 registration fee to get started.",1,"Job Scam"
"Speed Post Notice: Delivery failed. Address incorrect. Update address immediately at http://speedpost-tracking-update.work",1,"Delivery / Parcel Scam"
"Warning: Unauthorised access detected on your Axis Bank Netbanking. Click http://axis-netbank-fix.site to verify password.",1,"OTP / Credential Scam"
"Aapko Paytm se ₹2,500 ka reward Mila hai. Account me lene ke liye UPI PIN enter kare is link par: http://paytm-scratch-card.info",1,"Banking / Financial Scam"
"URGENT: Police Warrant issued against your name for cybercrime investigation. Pay penalty fee ₹15,000 online to cancel warrant http://e-challan-court.xyz",1,"Impersonation"
"Get 500% profit in 3 days! Guaranteed return investment scheme approved by RBI. Click http://rbi-approved-scheme.top",1,"Investment Scam"
"Hello handsome, I am lonely and want to meet you tonight. Click my private photos link: http://meet-hot-singles.xyz",1,"Romance / Social Engineering"
"Your WhatsApp backup failed. Download new security update APK from http://wa-security-update.apk to avoid losing chat history.",1,"Account Takeover"
"Hi boss, sending the Q3 financial report draft. Please check email attachment when free.",0,"Legitimate"
"Your order from Myntra #1029841 has been delivered to your doorstep.",0,"Legitimate"
"LIC India: Premium reminder for policy #987654321 due on 15-Sep-2026. Pay online via LIC Customer Portal app.",0,"Legitimate"
"Your PayTM UPI transaction of ₹120 to Tea Stall was successful. UPI Ref ID: 629841029841.",0,"Legitimate"
"Hi Team, please submit your leave requests for next week by Thursday end of day.",0,"Legitimate"
"IndiGo Flight 6E-204 from Delhi to Mumbai is on time. Gate 4, Departure 08:30 AM.",0,"Legitimate"
"Dear Customer, your Jio Fiber plan will expire in 3 days. Recharge via MyJio app to continue service.",0,"Legitimate"
"Hi, thanks for reaching out. We will process your request within 24 business hours.",0,"Legitimate"
"Can you please share the recipe for that cake you brought yesterday? It was delicious!",0,"Legitimate"
"Axis Bank: Credit Card bill of ₹4,320 generated for month of August. Due date: 20-Sep-2026.",0,"Legitimate"
"Congratulations! Your mobile number won $1,000,000 in Coca Cola Anniversary Draw! Email claims@coca-cola-lottery.xyz immediately.",1,"Prize / Lottery Scam"
"SBI YONO: Dear customer, your netbanking will be closed today. Click http://sbi-yono-kyc.top to fill PAN card & OTP.",1,"Banking / Financial Scam"
"Work 1 hour daily and earn ₹8,000! No investment required. WhatsApp us at 9811223344 right now.",1,"Job Scam"
"FedEx Package Alert: Your parcel was intercepted due to illegal contents. Pay ₹3,500 fine to avoid police arrest http://fedex-customs-clear.site",1,"Impersonation"
"Urgent: Someone tried to login to your Instagram account from Russia. Click http://instagram-verify-device.info to secure password.",1,"Account Takeover"
"PAN Card Link Warning: Fine of ₹10,000 imposed if PAN not linked to Aadhar today! Link now at http://pan-aadhar-link-fast.xyz",1,"Impersonation"
"High returns guaranteed! Deposit ₹1,000 and get ₹10,000 in 1 hour via automated crypto bot http://crypto-fast-payout.site",1,"Investment Scam"
"Telegram Admin Notice: Your account is scheduled for deletion due to spam reports. Verify phone number at http://telegram-verify-user.top",1,"Account Takeover"
"Urgent parcel update: Courier driver unable to find your house. Click http://courier-location-fix.xyz to update GPS location.",1,"Delivery / Parcel Scam"
"Congratulation! Your loan request of ₹5,00,000 is pre-approved at 0% interest rate! Pay ₹1,999 processing fee at http://instant-loan-approval.top",1,"Banking / Financial Scam"
"Hey Sneha, can you please send me the notes from yesterday's Machine Learning lecture?",0,"Legitimate"
"Dear Customer, your vehicle insurance policy #POL-89412 is expiring on 25-Sep-2026. Renew on PolicyBazaar app.",0,"Legitimate"
"Your OTP for login to Domino's Pizza is 392014. Valid for 5 minutes. Do not share with anyone.",0,"Legitimate"
"Hi Sunil, I have shared the Google Doc link for our project proposal. Please review when you get time.",0,"Legitimate"
"Dear Customer, your complaint #CR98412 has been resolved. Thank you for choosing Tata Play.",0,"Legitimate"
"Salary Credited: Your salary of ₹65,000 for month of August 2026 credited to HDFC account XX4910.",0,"Legitimate"
"Reminder: Library book 'Introduction to Algorithms' is due for return on 10-Sep-2026.",0,"Legitimate"
"Hi everyone, pizza party in cafeteria at 4 PM to celebrate team target completion!",0,"Legitimate"
"Your Amazon Pay ICICI Credit Card cashback of ₹450 has been credited to your pay balance.",0,"Legitimate"
"Dear customer, your gas cylinder booking #784910 is confirmed for delivery on 08-Sep-2026.",0,"Legitimate"
"Congratulations! You are selected for Kaun Banega Crorepati Season 15! Send ₹2,500 registration fee to claim ₹50 Lakhs prize.",1,"Prize / Lottery Scam"
"Bank Notice: Urgent KYC updates required for Punjab National Bank. Click http://pnb-kyc-verify.xyz to prevent account lock.",1,"Banking / Financial Scam"
"Typing job available! Earn ₹40,000 per month typing 5 pages daily. No qualifications needed. WhatsApp 9876001122.",1,"Job Scam"
"DHL Express: Shipment #DHL98410 delivery failed. Pay ₹99 re-delivery charges at http://dhl-express-redelivery.site",1,"Delivery / Parcel Scam"
"Warning: Netflix Account suspended due to payment failure. Update card details immediately at http://netflix-account-update.top",1,"Account Takeover"
"Income Tax Alert: You have pending tax refund of ₹24,500. Enter netbanking password at http://incometax-gov-claim.xyz to claim.",1,"Impersonation"
"Dear user, win ₹10,000 Google Pay scratch card! Click http://gpay-reward-scratch.site and enter UPI PIN to receive money.",1,"Banking / Financial Scam"
"Earn 50% daily interest on your savings! Certified by Government of India. Join now: http://gov-high-yield-scheme.top",1,"Investment Scam"
"Emergency: Your brother met with an accident! Send ₹20,000 to doctor's UPI ID: doctor.emergency@upi immediately for operation.",1,"Romance / Social Engineering"
"Alert: Unauthorised transfer of ₹50,000 attempted on your Kotak account. Stop transfer by entering OTP at http://kotak-stop-txn.info",1,"OTP / Credential Scam"
"Hi Deepak, please confirm if you will be attending the webinar on AI Security tomorrow at 3 PM.",0,"Legitimate"
"Your Dunzo delivery partner is arriving in 5 minutes with your groceries.",0,"Legitimate"
"Dear Valued Customer, your SBI Credit Card statement for cycle 01-Aug to 31-Aug has been generated.",0,"Legitimate"
"Hi Priya, thanks for inviting us over for dinner last night. We had a great time!",0,"Legitimate"
"Your Fastag account balance is low (₹85). Recharge via PhonePe or PayTM to avoid toll delay.",0,"Legitimate"
"Dear Student, online registration for semester exams opens tomorrow on official college website.",0,"Legitimate"
"Urban Company: Professional electrician assigned for your service request #UC98410 tomorrow at 10 AM.",0,"Legitimate"
"Hi Rohan, I have reviewed the code PR and left a few minor comments on GitHub.",0,"Legitimate"
"Your OTP for Flipkart login is 918234. Valid for 10 mins. Never share OTP with anyone.",0,"Legitimate"
"Dear Customer, your broadband plan has been upgraded to 200 Mbps at no extra cost. Enjoy high speed internet!",0,"Legitimate"
